Name, Health, NHL Team, Position, GFHL Team, GS, W, L, GA, SV, SO, FPTS
Linus Ullmark, Healthy, Bos, G, SALT, 46, 38, 6, 88, 1318, 2, 237.8
Alexandar Georgiev, Healthy, Col, G, SLC, 56, 35, 16, 141, 1587, 5, 222.2
Andrei Vasilevskiy, Healthy, TB, G, LKR, 58, 34, 20, 149, 1665, 4, 216.0
Jake Oettinger, Healthy, Dal, G, LKR, 57, 33, 11, 141, 1552, 4, 213.7
Connor Hellebuyck, Healthy, Wpg, G, ME, 60, 34, 24, 151, 1695, 3, 212.0
Igor Shesterkin, Healthy, NYR, G, DINK, 55, 35, 13, 139, 1490, 2, 210.5
Juuse Saros, Healthy, Nsh, G, SALT, 58, 30, 21, 159, 1775, 1, 199.0
Ilya Sorokin, Healthy, NYI, G, CLB, 56, 28, 21, 134, 1604, 5, 194.4
Vitek Vanecek, Healthy, NJ, G, CLB, 45, 30, 11, 115, 1140, 3, 171.5
Stuart Skinner, Healthy, Edm, G, BBS, 44, 25, 14, 128, 1306, 1, 154.6
Ilya Samsonov, Healthy, Tor, G, CLB, 37, 25, 10, 92, 992, 4, 151.2
Marc-Andre Fleury, Healthy, Min, G, LKR, 43, 24, 14, 119, 1197, 2, 146.2
Ville Husso, Healthy, Det, G, DINK, 51, 25, 19, 149, 1330, 3, 145.5
Darcy Kuemper, Healthy, Wsh, G, SALT, 53, 21, 25, 141, 1421, 5, 140.6
Tristan Jarry, Healthy, Pit, G, HERB, 42, 22, 11, 115, 1155, 2, 139.0
Filip Gustavsson, Healthy, Min, G, OXP, 33, 20, 9, 69, 965, 3, 139.0
Carter Hart, DTD, Phi, G, OXP, 51, 21, 21, 145, 1441, 2, 138.6
Jordan Binnington, Healthy, StL, G, SLC, 56, 25, 25, 185, 1520, 2, 138.5
Sergei Bobrovsky, DTD, Fla, G, SLC, 49, 24, 20, 145, 1322, 1, 137.7
Logan Thompson, O, Vgk, G, DINK, 36, 21, 13, 96, 1036, 2, 130.6
Jeremy Swayman, Healthy, Bos, G, BBS, 30, 21, 6, 68, 776, 4, 129.6
Pheonix Copley, Healthy, LA, G, HERB, 33, 24, 4, 86, 784, 1, 129.4
Martin Jones, Healthy, Sea, G, DINK, 40, 25, 13, 126, 983, 3, 128.3
Karel Vejmelka, Healthy, Ari, G, FA, 47, 18, 23, 159, 1454, 3, 120.9
Jacob Markstrom, Healthy, Cgy, G, OXP, 54, 22, 20, 157, 1265, 1, 118.0
Joonas Korpisalo, Healthy, LA, G, DINK, 34, 16, 13, 96, 1051, 0, 108.1
Frederik Andersen, Healthy, Car, G, HERB, 30, 20, 9, 73, 688, 1, 105.3
John Gibson, Healthy, Ana, G, ME, 51, 14, 30, 196, 1752, 1, 105.2
Jack Campbell, Healthy, Edm, G, FA, 33, 20, 9, 114, 885, 1, 104.5
Antti Raanta, Healthy, Car, G, FA, 23, 17, 2, 51, 514, 4, 99.9
Sam Montembeault, Healthy, Mon, G, FA, 35, 15, 16, 115, 1102, 0, 96.7
Ukko-Pekka Luukkonen, Healthy, Buf, G, BOWS, 32, 17, 11, 114, 940, 0, 94.0
Casey DeSmith, Healthy, Pit, G, FA, 33, 15, 16, 109, 1033, 0, 92.8
Adin Hill, O, Vgk, G, FA, 25, 16, 7, 61, 660, 0, 92.5
Cam Talbot, Healthy, Ott, G, ME, 31, 16, 14, 91, 820, 1, 88.5
Jake Allen, Healthy, Mon, G, FA, 41, 15, 24, 145, 1190, 1, 84.5
Jonathan Quick, Healthy, Vgk, G, FA, 34, 16, 15, 123, 905, 2, 82.0
Matt Murray, DTD, Tor, G, BOWS, 26, 14, 8, 74, 687, 1, 81.7
James Reimer, Healthy, SJ, G, FA, 38, 12, 18, 128, 1091, 3, 81.1
Pyotr Kochetkov, Healthy, Car, G, HERB, 23, 12, 7, 57, 570, 4, 77.5
Dan Vladar, Healthy, Cgy, G, FA, 23, 14, 6, 71, 596, 0, 74.1
Charlie Lindgren, O, Wsh, G, FA, 24, 13, 9, 80, 701, 0, 73.1
Semyon Varlamov, Healthy, NYI, G, FA, 22, 11, 9, 60, 629, 2, 71.9
Anton Forsberg, IR, Ott, G, FA, 25, 11, 11, 80, 737, 2, 70.7
Philipp Grubauer, Healthy, Sea, G, BBS, 32, 14, 13, 92, 736, 0, 70.6
Craig Anderson, O, Buf, G, FA, 23, 10, 11, 73, 717, 1, 66.2
Thatcher Demko, Healthy, Van, G, BOWS, 29, 11, 14, 95, 799, 0, 62.4
Jaroslav Halak, Healthy, NYR, G, FA, 22, 10, 8, 60, 577, 1, 61.7
Alex Stalock, Healthy, Chi, G, FA, 21, 9, 13, 64, 655, 2, 60.5
Brian Elliott, Healthy, TB, G, FA, 19, 11, 6, 63, 513, 1, 59.8
Connor Ingram, Healthy, Ari, G, FA, 26, 6, 13, 89, 871, 1, 55.6
Spencer Knight, IR, Fla, G, FA, 19, 9, 8, 62, 564, 1, 55.4
Mackenzie Blackwood, Healthy, NJ, G, FA, 18, 10, 5, 54, 458, 0, 53.8
Petr Mrazek, Healthy, Chi, G, FA, 35, 8, 21, 120, 1021, 0, 53.1
Kevin Lankinen, Healthy, Nsh, G, FA, 16, 8, 7, 43, 474, 0, 50.9
Kaapo Kahkonen, Healthy, SJ, G, FA, 34, 9, 18, 125, 915, 1, 49.0
David Rittich, Healthy, Wpg, G, FA, 17, 9, 7, 47, 435, 0, 49.0
Akira Schmid, Healthy, NJ, G, FA, 14, 8, 5, 32, 356, 1, 48.6
Scott Wedgewood, O, Dal, G, FA, 16, 7, 8, 48, 503, 1, 48.3
Spencer Martin, Healthy, Van, G, FA, 27, 11, 15, 107, 723, 0, 47.8
Eric Comrie, Healthy, Buf, G, FA, 19, 9, 9, 68, 526, 1, 47.6
Pavel Francouz, O, Col, G, FA, 15, 7, 7, 38, 432, 1, 47.2
Collin Delia, Healthy, Van, G, FA, 15, 9, 4, 52, 392, 0, 45.2
Thomas Greiss, DTD, StL, G, FA, 16, 7, 10, 66, 560, 1, 43.0
Mads Sogaard, DTD, Ott, G, FA, 15, 7, 6, 48, 393, 0, 37.3
Samuel Ersson, Healthy, Phi, G, FA, 9, 6, 2, 30, 266, 1, 35.6
Alex Lyon, Healthy, Fla, G, FA, 9, 6, 3, 32, 275, 1, 34.5
Elvis Merzlikins, DTD, Cls, G, FA, 27, 7, 18, 110, 779, 0, 32.9
Anthony Stolarz, IR, Ana, G, FA, 12, 5, 6, 51, 443, 0, 32.8
Alex Nedeljkovic, Healthy, Det, G, FA, 12, 5, 6, 46, 393, 0, 30.3
Lukas Dostal, Healthy, Ana, G, FA, 14, 4, 8, 57, 508, 0, 30.3
Jaxson Stauber, Healthy, Chi, G, FA, 6, 5, 1, 17, 174, 0, 27.9
Magnus Hellberg, Healthy, Det, G, FA, 14, 5, 8, 47, 383, 0, 26.8
Daniil Tarasov, Healthy, Cls, G, FA, 16, 4, 11, 57, 471, 0, 23.6
Laurent Brossoit, Healthy, Vgk, G, FA, 6, 3, 0, 16, 184, 0, 22.4
Cal Petersen, Healthy, LA, G, FA, 9, 5, 3, 34, 223, 0, 22.3
Erik Kallgren, Healthy, Tor, G, FA, 9, 3, 2, 25, 221, 0, 19.6
Joel Hofer, Healthy, StL, G, FA, 5, 3, 0, 12, 130, 0, 19.0
Joseph Woll, Healthy, Tor, G, FA, 4, 3, 1, 8, 113, 0, 18.3
Ivan Prosvetov, Healthy, Ari, G, FA, 4, 3, 1, 12, 124, 0, 17.4
Arturs Silovs, Healthy, Van, G, FA, 5, 3, 2, 14, 138, 0, 16.8
Arvid Soderblom, Healthy, Chi, G, FA, 13, 2, 10, 48, 405, 0, 14.5
Jonas Johansson, Healthy, Col, G, FA, 2, 2, 0, 5, 68, 0, 12.3
Jiri Patera, Healthy, Vgk, G, FA, 2, 2, 0, 5, 65, 0, 12.0
Joey Daccord, Healthy, Sea, G, FA, 3, 2, 0, 9, 84, 0, 11.9
Felix Sandstrom, Healthy, Phi, G, FA, 16, 2, 11, 59, 440, 0, 11.5
Dylan Ferguson, Healthy, Ott, G, FA, 2, 1, 1, 5, 78, 0, 8.3
Kevin Mandolese, Healthy, Ott, G, FA, 3, 1, 2, 10, 109, 0, 7.9
Michael Hutchinson, Healthy, Cls, G, FA, 6, 1, 4, 37, 260, 0, 7.5
Keith Kinkaid, Healthy, Col, G, FA, 1, 1, 0, 2, 38, 0, 6.8
Dustin Tokarski, Healthy, Pit, G, FA, 2, 1, 2, 12, 105, 0, 6.5
Devon Levi, Healthy, Buf, G, SALT, 1, 1, 0, 2, 31, 0, 6.1
Eetu Makiniemi, Healthy, SJ, G, FA, 1, 1, 0, 3, 29, 0, 5.4
Jon Gillies, Healthy, Cls, G, FA, 1, 1, 0, 3, 24, 0, 4.9
Justus Annunen, Healthy, Col, G, FA, 2, 1, 1, 7, 41, 0, 3.6
Matt Murray, Healthy, Dal, G, FA, 3, 1, 2, 10, 54, 0, 2.4
Aaron Dell, Healthy, SJ, G, FA, 3, 0, 3, 9, 94, 0, 1.9
Dylan Wells, Healthy, Dal, G, FA, 0, 0, 0, 1, 12, 0, 0.7
Cayden Primeau, Healthy, Mon, G, FA, 1, 0, 1, 3, 30, 0, 0.5
Yaroslav Askarov, Healthy, Nsh, G, FA, 1, 0, 1, 4, 31, 0, 0.1
Matthew Berlin, Healthy, Edm, G, FA, 0, 0, 0, 0, 1, 0, 0.1
Robin Lehner, IR, Vgk, G, FA, --, --, --, --, --, --, --
Carey Price, IR, Mon, G, FA, --, --, --, --, --, --, --
Jesper Wallstedt, Healthy, Min, G, FA, --, --, --, --, --, --, --
Tuukka Rask, Healthy, Bos, G, FA, --, --, --, --, --, --, --
Malcolm Subban, Healthy, Buf, G, FA, --, --, --, --, --, --, --
Mike Smith, O, Edm, G, FA, --, --, --, --, --, --, --
Mikko Koskinen, Healthy, Edm, G, FA, --, --, --, --, --, --, --
Dustin Wolf, Healthy, Cgy, G, FA, --, --, --, --, --, --, --
Braden Holtby, O, Dal, G, FA, --, --, --, --, --, --, --
Pekka Rinne, Healthy, Nsh, G, FA, --, --, --, --, --, --, --
Louis Domingue, Healthy, NYR, G, FA, --, --, --, --, --, --, --
Devan Dubnyk, Healthy, Col, G, FA, --, --, --, --, --, --, --
Chris Driedger, IR, Sea, G, FA, --, --, --, --, --, --, --
Michael DiPietro, Healthy, Van, G, FA, --, --, --, --, --, --, --
Ryan Miller, Healthy, Ana, G, FA, --, --, --, --, --, --, --
Jonathan Bernier, IR, NJ, G, FA, --, --, --, --, --, --, --
Nico Daws, Healthy, NJ, G, FA, --, --, --, --, --, --, --
Christopher Gibson, Healthy, Sea, G, FA, --, --, --, --, --, --, --
Cory Schneider, Healthy, NYI, G, FA, --, --, --, --, --, --, --
Curtis McElhinney, Healthy, TB, G, FA, --, --, --, --, --, --, --
Zach Fucale, Healthy, Wsh, G, FA, --, --, --, --, --, --, --
Hugo Alnefelt, Healthy, TB, G, FA, --, --, --, --, --, --, --
Antti Niemi, Healthy, Mon, G, FA, --, --, --, --, --, --, --
Troy Grosenick, Healthy, Phi, G, FA, --, --, --, --, --, --, --
Adam Huska, Healthy, NYR, G, FA, --, --, --, --, --, --, --
Calvin Pickard, Healthy, Edm, G, FA, --, --, --, --, --, --, --
Maxime Lagace, Healthy, TB, G, FA, --, --, --, --, --, --, --
Garret Sparks, Healthy, LA, G, FA, --, --, --, --, --, --, --
Mike Condon, Healthy, TB, G, FA, --, --, --, --, --, --, --
Eddie Lack, Healthy, NJ, G, FA, --, --, --, --, --, --, --
Andrew Hammond, Healthy, NJ, G, FA, --, --, --, --, --, --, --
Harri Sateri, Healthy, Ari, G, FA, --, --, --, --, --, --, --
Kasimir Kaskisuo, Healthy, Nsh, G, FA, --, --, --, --, --, --, --
Hunter Miska, Healthy, Col, G, FA, --, --, --, --, --, --, --
Kenneth Appleby, Healthy, NYI, G, FA, --, --, --, --, --, --, --
Veini Vehvilainen, Healthy, Tor, G, FA, --, --, --, --, --, --, --
Carter Hutton, Healthy, Tor, G, FA, --, --, --, --, --, --, --
Jack LaFontaine, Healthy, TB, G, FA, --, --, --, --, --, --, --
Artyom Zagidulin, Healthy, Cgy, G, FA, --, --, --, --, --, --, --
Josef Korenar, Healthy, Ari, G, FA, --, --, --, --, --, --, --
Alexei Melnichuk, Healthy, TB, G, FA, --, --, --, --, --, --, --
Danny Taylor, Healthy, Ott, G, FA, --, --, --, --, --, --, --
Zach Sawchenko, Healthy, Car, G, FA, --, --, --, --, --, --, --
Niklas Svedberg, Healthy, Min, G, FA, --, --, --, --, --, --, --
Jeff Glass, Healthy, Chi, G, FA, --, --, --, --, --, --, --
Michael Houser, Healthy, Buf, G, FA, --, --, --, --, --, --, --
Jean-Francois Berube, Healthy, Cls, G, FA, --, --, --, --, --, --, --
Tom Hodges, Healthy, Ana, G, FA, --, --, --, --, --, --, --
Oscar Dansk, Healthy, Cgy, G, FA, --, --, --, --, --, --, --
Shane Starrett, Healthy, Edm, G, FA, --, --, --, --, --, --, --
Jared Coreau, Healthy, NYI, G, FA, --, --, --, --, --, --, --
Kevin Boyle, Healthy, Det, G, FA, --, --, --, --, --, --, --
Marcus Hogberg, Healthy, Ott, G, FA, --, --, --, --, --, --, --
Michael McNiven, Healthy, Ott, G, FA, --, --, --, --, --, --, --
Kaden Fulcher, Healthy, Det, G, FA, --, --, --, --, --, --, --
Keith Petruzzelli, Healthy, Tor, G, FA, --, --, --, --, --, --, --
Landon Bow, Healthy, Dal, G, FA, --, --, --, --, --, --, --
Zane McIntyre, Healthy, Min, G, FA, --, --, --, --, --, --, --
Olle Eriksson Ek, Healthy, Ana, G, FA, --, --, --, --, --, --, --
Anton Khudobin, Healthy, Chi, G, FA, 1, 0, 1, 6, 22, 0, -1.8
